,name,url
0,Basic Loan Rate[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir01_d_1_en.html
1,Average Interest Rates Posted at Financial Institutions by Type of Deposit[Weekly(Monday Base)],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir02_w1_1_en.html
2,Average Contracted Interest Rates on Loans and Discounts[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir04_m_1_en.html
3,Call Rates[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm01_d_1_en.html
4,Foreign Exchange Rate(Tokyo Market Interbank Rates)[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm08_d_1_en.html
5,Effective Exchange Rates[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm09_m_1_en.html
6,Monetary Base/Average Amounts Outstanding[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md01_m_1_en.html
7,Money Stock[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md02_m_1_en.html
8,"Deposits, Vault Cash, and Loans and Bills Discounted[Monthly]",https://www.stat-search.boj.or.jp/ssi/mtshtml/md11_m_1_en.html
9,Principal Figures of Financial Institutions[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md13_m_1_en.html
10,Principal Accounts/percentage changes from the previous year(Domestically Licensed Banks)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bs02_m_1_en.html
11,Households Financial Assets(Flow of Funds Accounts)[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ff_q_1_en.html
12,TANKAN/Judgement Survey/Business Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_1_en.html
13,TANKAN/Judgement Survey/Domestic Supply & Demand Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_2_en.html
14,TANKAN/Judgement Survey/Change in Output Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_3_en.html
15,TANKAN/Judgement Survey/Change in Input Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_4_en.html
16,TANKAN/Judgement Survey/Production Capacity[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_5_en.html
17,TANKAN/Judgement Survey/Employment Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_6_en.html
18,TANKAN/Judgement Survey/Financial Position[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_7_en.html
19,TANKAN/Judgement Survey/Lending Attitude[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_8_en.html
20,TANKAN/Annual Projections/Fixed Investment[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_1_en.html
21,TANKAN/Annual Projections/Current Profits[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_2_en.html
22,Corporate Goods Price Index(CGPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr01_m_1_en.html
23,Services Producer Price Index(SPPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr02_m_1_en.html
24,Balance of Payments[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bp01_m_1_en.html
25,Basic Loan Rate[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir01_d_1_en.html
26,Average Interest Rates Posted at Financial Institutions by Type of Deposit[Weekly(Monday Base)],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir02_w1_1_en.html
27,Average Contracted Interest Rates on Loans and Discounts[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ir04_m_1_en.html
28,Call Rates[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm01_d_1_en.html
29,Foreign Exchange Rate(Tokyo Market Interbank Rates)[Daily] [Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm08_d_1_en.html
30,Effective Exchange Rates[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/fm09_m_1_en.html
31,Monetary Base/Average Amounts Outstanding[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md01_m_1_en.html
32,Money Stock[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md02_m_1_en.html
33,"Deposits, Vault Cash, and Loans and Bills Discounted[Monthly]",https://www.stat-search.boj.or.jp/ssi/mtshtml/md11_m_1_en.html
34,Principal Figures of Financial Institutions[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md13_m_1_en.html
35,Principal Accounts/percentage changes from the previous year(Domestically Licensed Banks)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bs02_m_1_en.html
36,Households Financial Assets(Flow of Funds Accounts)[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ff_q_1_en.html
37,TANKAN/Judgement Survey/Business Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_1_en.html
38,TANKAN/Judgement Survey/Domestic Supply & Demand Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_2_en.html
39,TANKAN/Judgement Survey/Change in Output Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_3_en.html
40,TANKAN/Judgement Survey/Change in Input Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_4_en.html
41,TANKAN/Judgement Survey/Production Capacity[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_5_en.html
42,TANKAN/Judgement Survey/Employment Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_6_en.html
43,TANKAN/Judgement Survey/Financial Position[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_7_en.html
44,TANKAN/Judgement Survey/Lending Attitude[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_8_en.html
45,TANKAN/Annual Projections/Fixed Investment[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_1_en.html
46,TANKAN/Annual Projections/Current Profits[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_2_en.html
47,Corporate Goods Price Index(CGPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr01_m_1_en.html
48,Services Producer Price Index(SPPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr02_m_1_en.html
49,Balance of Payments[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bp01_m_1_en.html
